fleurs_dir,name,level,glottocode,longitude,latitude,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
es_419,Spanish,language,stan1288,-1.11788,40.4414,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,cast1243,,,
sw_ke,Swahili,language,swah1253,37.624,-8.25605,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,nort3209,coas1317,saba1282,swah1254,momb1256,,,
sv_se,Swedish,language,swed1254,17.389526,59.800634,indo1319,clas1257,germ1287,nort3152,nort3160,nort3266,east2780,east2781,,,,,,,,
tg_tj,Tajik,language,taji1245,68.5549,38.8213,indo1319,clas1257,indo1320,iran1269,sout3157,midd1352,mode1259,fars1254,fars1255,east2745,taji1250,,,,,
ta_in,Tamil,language,tami1289,78.825989,10.520219,drav1251,sout3133,sout3138,tami1291,tami1292,tami1293,tami1294,tami1297,tami1298,tami1299,tami1300,,,,,
te_in,Telugu,language,telu1262,78.7024,16.4529,drav1251,sout3133,sout3139,telu1265,,,,,,,,,,,,
th_th,Thai,language,thai1261,100.671,14.192,taik1256,kamt1241,daic1238,daic1237,cent2251,wenm1239,sapa1255,sout3184,sput1235,laot1235,,,,,,
tr_tr,Turkish,language,nucl1301,32.8667,39.8667,turk1311,comm1245,oghu1243,nucl1769,west2406,,,,,,,,,,,
uk_ua,Ukrainian,language,ukra1253,29.945,49.796,indo1319,clas1257,balt1263,slav1255,east1426,ukra1257,,,,,,,,,,
umb_ao,Umbundu,language,umbu1257,14.4148,-12.4763,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,njil1234,sout3233,kune1234,,,,,,
ur_pk,Urdu,language,urdu1245,67.0,25.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,indo1322,west2812,hind1270,,,,,
uz_uz,Uzbek,family,uzbe1247,64.95085,38.74795,turk1311,comm1245,kipc1240,uygh1241,uygh1240,,,,,,,,,,,
vi_vn,Vietnamese,language,viet1252,105.774071,20.681188,aust1305,viet1250,viet1251,,,,,,,,,,,,,
cy_gb,Welsh,language,wels1247,-4.0,52.0,indo1319,clas1257,celt1248,nucl1715,tgbc1234,insu1254,bryt1239,oldm1247,,,,,,,,
wo_sn,Wolof,language,nucl1347,-15.383,15.2534,atla1278,nort3146,wolo1248,wolo1247,,,,,,,,,,,,
xh_za,Xhosa,language,xhos1239,28.0769,-31.0389,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,ngun1280,ngun1276,nucl1827,ngun1267,,
yo_ng,Yoruba,language,yoru1245,3.67225,7.15345,atla1278,volt1241,benu1247,defo1239,yoru1244,edek1238,edea1234,east2738,sout3186,nucl1747,lucu1239,,,,,
zu_za,Zulu,language,zulu1248,30.2,-28.9,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,ngun1280,ngun1276,nucl1827,ngun1267,,
